docker 127.0.0.1 - - [03/01/2017:21:21:44 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:44 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:45 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:45 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:45 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:45 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:45 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:45 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:45 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:45 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:50 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:46 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:47 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:22:49 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
